,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
26,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_carro-733524115,vwvolkswagen,25000,hatch,fox,manual,2013,60000,1,flex,hidráulica,prata,sim,fox 1.0 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
27,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-cross-2014-736668816,vwvolkswagen,37000,vanutilitário,saveiro,manual,2014,168000,1.6,flex,hidráulica,preto,sim,saveiro cross 1.6 mi total flex 8v ce,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
28,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-1-6-completo-2017-737102705,vwvolkswagen,38000,passeio,fox,manual,2017,37000,1.6,flex,elétrica,cinza,0,fox comfortline i motion 1.6 flex 8v 5p,4 portas,0,0,0
29,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-gol-1-6-msi-totalflex-trendline-4p-manual-656696790,vwvolkswagen,36900,passeio,gol,manual,2018,23500,1.6,flex,hidráulica,cinza,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",1
30,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_new-fiesta-1-5-flex-2014-713164463,ford,29000,hatch,fiesta,manual,2014,70000,1.5,flex,elétrica,0,não,fiesta 1.5 16v flex mec. 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",1
31,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-gol-2014-1-0-2-portas--714413659,vwvolkswagen,24899,hatch,gol,manual,2014,66457,1,flex,hidráulica,preto,sim,gol  novo  1.0 mi total flex 8v 2p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
32,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fiesta-1-6-se-hatch-16v-flex-4p-manual-702621368,ford,45800,passeio,fiesta,manual,2017,27838,1.6,flex,elétrica,prata,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",0
33,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_up-take-1-0-completo-unica-dona-2014-sem-entrada-60x598-00-cdc-687859430,vwvolkswagen,16700,hatch,up,manual,2015,0,1,flex,hidráulica,preto,sim,up  take 1.0 t. flex 12v 3p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
34,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vw-spacefox-itrend-imotion-impecavel-714372721,vwvolkswagen,33500,passeio,spacefox,automático,2014,70000,1.6,flex,hidráulica,prata,não,spacefox  trend i motion 1.6 t. flex 8v,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
35,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-polo-1-6-mi-8v-flex-4p-manual-736547870,vwvolkswagen,35900,passeio,polo,manual,2014,71533,1.6,flex,mecnica,prata,sim,0,4 portas,0,"air bag, trava elétrica, ar condicionado, alarme",0
36,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_polo-sportline-713301884,vwvolkswagen,31500,hatch,polo,manual,2013,0,1.6,flex,hidráulica,branco,sim,polo sportline 1.6 mi total flex 8v 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
